"Viewer version","2.91"
"Measure start time","24 July 2023 14:21:18"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.1120","0.622"
"1","0.1599","0.644"
"2","0.2078","0.633"
"3","0.2719","0.656"
"4","0.3362","0.633"
"5","0.4318","0.644"
"6","0.4957","0.622"
"7","0.5597","0.641"
"8","0.6237","0.637"
"9","0.6877","0.630"
"10","0.7516","0.626"
"11","0.8476","0.630"
"12","0.8956","0.637"
"13","0.9916","0.622"
"14","1.0396","0.619"
"15","1.1354","0.637"
"16","1.1834","0.630"
"17","1.2636","0.633"
"18","1.2953","0.619"
"19","1.3913","0.622"
"20","1.4552","0.626"
"21","1.5192","0.641"
"22","1.5832","0.633"
"23","1.6472","0.626"
"24","1.7111","0.626"
"25","1.8071","0.622"
"26","1.8711","0.641"
"27","1.9350","0.611"
"28","1.9992","0.633"
"29","2.0950","0.619"
"30","2.1430","0.637"
"31","2.2390","0.622"
"32","2.2877","0.641"
"33","2.3349","0.630"
"34","2.4151","0.626"
"35","2.4788","0.626"
"36","2.5429","0.637"
"37","2.6068","0.611"
"38","2.6717","0.689"
"39","2.7348","0.633"
"40","2.8307","0.630"
"41","2.8946","0.622"
"42","2.9586","0.663"
"43","3.0226","0.619"
"44","3.0865","0.652"
"45","3.1825","0.619"
"46","3.2304","0.607"
"47","3.3264","0.681"
"48","3.3744","0.681"
"49","3.4704","0.644"
"50","3.5183","0.659"
"51","3.5983","0.667"
"52","3.6302","0.644"
"53","3.6943","0.656"
"54","3.7902","0.641"
"55","3.8542","0.644"
"56","3.9181","0.644"
"57","3.9820","0.659"
"58","4.0461","0.633"
"59","4.1100","0.667"
"60","4.2059","0.633"
"61","4.2699","0.637"
"62","4.3339","0.630"
"63","4.3979","0.637"
"64","4.4619","0.648"
"65","4.5419","0.648"
"66","4.6058","0.630"
"67","4.7017","0.674"
"68","4.7496","0.648"
"69","4.8455","0.656"
"70","4.8936","0.622"
"71","4.9419","0.663"
"72","5.0375","0.641"
"73","5.0855","0.659"
"74","5.1654","0.622"
"75","5.2294","0.659"
"76","5.2944","0.619"
"77","5.3575","0.648"
"78","5.4213","0.622"
"79","5.4853","0.648"
"80","5.5814","0.637"
"81","5.6292","0.596"
"82","5.6931","0.707"
"83","5.7737","0.659"
"84","5.8691","0.652"
"85","5.9170","0.641"
"86","5.9813","0.648"
"87","6.0450","0.674"
"88","6.1089","0.626"
"89","6.1729","0.652"
"90","6.2370","0.611"
"91","6.3168","0.656"
"92","6.4131","0.622"
"93","6.4610","0.619"
"94","6.5568","0.652"
"95","6.5887","0.600"
"96","6.6529","0.656"
"97","6.7167","0.607"
"98","6.8126","0.641"
"99","6.8766","0.633"
"100","6.9408","0.648"
"101","7.0045","0.648"
"102","7.0685","0.611"
"103","7.1647","0.644"
"104","7.2124","0.611"
"105","7.3084","0.644"
"106","7.3564","0.589"
"107","7.4523","0.600"
"108","7.5003","0.637"
"109","7.5483","0.611"
"110","7.6282","0.615"
"111","7.6922","0.615"
"112","7.7562","0.607"
"113","7.8201","0.604"
"114","7.8841","0.615"
"115","7.9480","0.622"
"116","8.0440","0.604"
"117","8.1079","0.619"
"118","8.1719","0.615"
"119","8.2359","0.622"
"120","8.2998","0.600"
"121","8.3638","0.681"
"122","8.4598","0.604"
"123","8.5237","0.615"
"124","8.5877","0.689"
"125","8.6520","0.604"
"126","8.7477","0.641"
"127","8.7956","0.626"
"128","8.8916","0.652"
"129","8.9396","0.633"
"130","9.0355","0.637"
"131","9.0675","0.644"
"132","9.1314","0.630"
"133","9.1954","0.641"
"134","9.2594","0.633"
"135","9.3237","0.656"
"136","9.4193","0.633"
"137","9.4833","0.615"
"138","9.5473","0.652"
"139","9.6112","0.637"
"140","9.6752","0.648"
"141","9.7551","0.615"
"142","9.8511","0.659"
"143","9.8991","0.619"
"144","9.9791","0.648"
"145","10.0111","0.641"
"146","10.0750","0.626"
"147","10.1710","0.630"
"148","10.2350","0.626"
"149","10.2990","0.648"
"150","10.3629","0.615"
"151","10.4269","0.644"
"152","10.4909","0.619"
"153","10.5549","0.626"
"154","10.6509","0.619"
"155","10.7149","0.626"
"156","10.8109","0.611"
"157","10.8589","0.622"
"158","10.9068","0.633"
"159","11.0027","0.633"
"160","11.0510","0.641"
"161","11.1467","0.622"
"162","11.1947","0.607"
"163","11.2918","0.637"
"164","11.3398","0.596"
"165","11.4026","0.674"
"166","11.4668","0.611"
"167","11.5305","0.659"
"168","11.5945","0.607"
"169","11.6585","0.633"
"170","11.7225","0.630"
"171","11.8184","0.615"
"172","11.8824","0.637"
"173","11.9466","0.626"
"174","12.0105","0.641"
"175","12.0743","0.622"
"176","12.1385","0.641"
"177","12.2343","0.641"
"178","12.2983","0.622"
"179","12.3623","0.667"
"180","12.4429","0.648"
"181","12.4902","0.644"
"182","12.5864","0.641"
"183","12.6342","0.633"
"184","12.7301","0.659"
"185","12.7781","0.648"
"186","12.8741","0.652"
"187","12.9220","0.611"
"188","12.9700","0.711"
"189","13.0350","0.615"
"190","13.0980","0.667"
"191","13.1620","0.596"
"192","13.2579","0.704"
"193","13.3222","0.607"
"194","13.3859","0.637"
"195","13.4500","0.622"
"196","13.5298","0.615"
"197","13.6257","0.641"
"198","13.6741","0.626"
"199","13.7227","0.637"
"200","13.8177","0.619"
"201","13.8658","0.611"
"202","13.9616","0.626"
"203","13.9946","0.641"
"204","14.0576","0.607"
"205","14.1217","0.622"
"206","14.2175","0.622"
"207","14.2817","0.630"
"208","14.3456","0.607"
"209","14.4101","0.656"
"210","14.4734","0.607"
