"Viewer version","2.91"
"Measure start time","25 July 2023 11:40:05"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"2135","146.2821","5.970"
"2136","146.3464","5.959"
"2137","146.4421","5.963"
"2138","146.4900","5.948"
"2139","146.5540","5.941"
"2140","146.6180","5.948"
"2141","146.6821","5.930"
"2142","146.7460","5.948"
"2143","146.8099","5.893"
"2144","146.9062","5.941"
"2145","146.9538","5.926"
"2146","147.0341","5.919"
"2147","147.1297","5.915"
"2148","147.1776","5.900"
"2149","147.2256","5.930"
"2150","147.3216","5.907"
"2151","147.3535","5.900"
"2152","147.4495","5.896"
"2153","147.5134","5.878"
"2154","147.5774","5.896"
"2155","147.6414","5.870"
"2156","147.7053","5.907"
"2157","147.7693","5.856"
"2158","147.8651","5.907"
"2159","147.9291","5.822"
"2160","147.9931","5.919"
"2161","148.0571","5.826"
"2162","148.1371","5.870"
"2163","148.1849","5.870"
"2164","148.2809","5.833"
"2165","148.3289","5.878"
"2166","148.3931","5.819"
"2167","148.4573","5.896"
"2168","148.5209","5.822"
"2169","148.6169","5.889"
"2170","148.6647","5.826"
"2171","148.7607","5.833"
"2172","148.8087","5.848"
"2173","148.9046","5.889"
"2174","148.9526","5.756"
"2175","149.0165","5.896"
"2176","149.0807","5.781"
"2177","149.1445","5.844"
"2178","149.2087","5.822"
"2179","149.3053","5.781"
"2180","149.3852","5.878"
"2181","149.4163","5.737"
"2182","149.5122","5.937"
"2183","149.5762","5.715"
"2184","149.6402","5.859"
"2185","149.7202","5.778"
"2186","149.7681","5.796"
"2187","149.8640","5.841"
"2188","149.9121","5.678"
"2189","150.0079","5.900"
"2190","150.0558","5.737"
"2191","150.1198","5.867"
"2192","150.1838","5.719"
"2193","150.2477","5.848"
"2194","150.3119","5.763"
"2195","150.3758","5.770"
"2196","150.4721","5.793"
"2197","150.5206","5.741"
"2198","150.6156","5.785"
"2199","150.6636","5.741"
"2200","150.7596","5.785"
"2201","150.8075","5.744"
"2202","150.8875","5.774"
"2203","150.9195","5.759"
"2204","150.9834","5.719"
"2205","151.0794","5.807"
"2206","151.1434","5.711"
"2207","151.2074","5.770"
"2208","151.2713","5.704"
"2209","151.3353","5.737"
"2210","151.3992","5.744"
"2211","151.4952","5.733"
"2212","151.5592","5.722"
"2213","151.6231","5.726"
"2214","151.6872","5.741"
"2215","151.7512","5.685"
"2216","151.8310","5.722"
"2217","151.9269","5.744"
"2218","151.9750","5.681"
"2219","152.0389","5.711"
"2220","152.1029","5.715"
"2221","152.1668","5.689"
"2222","152.2307","5.700"
"2223","152.2948","5.696"
"2224","152.3907","5.707"
"2225","152.4547","5.693"
"2226","152.5187","5.704"
"2227","152.5827","5.689"
"2228","152.6468","5.685"
"2229","152.7106","5.678"
"2230","152.7746","5.674"
"2231","152.8705","5.681"
"2232","152.9345","5.656"
"2233","152.9985","5.670"
"2234","153.0784","5.667"
"2235","153.1585","5.670"
"2236","153.2064","5.626"
"2237","153.3023","5.696"
"2238","153.3503","5.626"
"2239","153.3984","5.681"
"2240","153.4943","5.652"
"2241","153.5422","5.641"
"2242","153.6224","5.648"
"2243","153.6865","5.630"
"2244","153.7501","5.656"
"2245","153.8152","5.604"
"2246","153.8780","5.648"
"2247","153.9422","5.604"
"2248","154.0380","5.700"
"2249","154.1179","5.581"
"2250","154.1659","5.670"
"2251","154.2618","5.604"
"2252","154.2938","5.589"
"2253","154.3577","5.648"
"2254","154.4217","5.574"
"2255","154.4857","5.648"
"2256","154.5816","5.585"
"2257","154.6456","5.648"
"2258","154.7098","5.589"
"2259","154.7736","5.619"
"2260","154.8375","5.607"
"2261","154.9015","5.593"
"2262","154.9975","5.622"
"2263","155.0455","5.578"
"2264","155.1414","5.581"
"2265","155.1894","5.600"
"2266","155.2694","5.581"
"2267","155.3336","5.604"
"2268","155.3976","5.544"
"2269","155.4612","5.619"
"2270","155.5252","5.533"
"2271","155.5892","5.593"
"2272","155.6851","5.552"
"2273","155.7651","5.541"
"2274","155.8130","5.567"
"2275","155.9090","5.530"
"2276","155.9571","5.556"
"2277","156.0055","5.526"
"2278","156.0689","5.559"
"2279","156.1329","5.507"
"2280","156.1969","5.578"
"2281","156.2928","5.500"
"2282","156.3568","5.574"
"2283","156.4207","5.504"
"2284","156.4848","5.585"
"2285","156.5487","5.493"
"2286","156.6447","5.563"
"2287","156.7088","5.500"
"2288","156.7573","5.552"
"2289","156.8533","5.441"
"2290","156.9007","5.200"
"2291","156.9810","5.119"
"2292","157.0455","5.122"
"2293","157.1089","5.070"
"2294","157.1725","5.104"
"2295","157.2365","5.056"
"2296","157.3005","5.052"
"2297","157.3969","5.085"
"2298","157.4455","5.056"
"2299","157.5414","5.048"
"2300","157.5723","5.033"
"2301","157.6535","5.089"
"2302","157.7164","5.015"
"2303","157.7802","5.119"
"2304","157.8442","4.996"
"2305","157.9402","5.093"
"2306","158.0042","4.993"
"2307","158.0681","5.059"
"2308","158.1321","5.030"
"2309","158.1961","5.056"
"2310","158.2601","5.011"
"2311","158.3560","5.015"
"2312","158.4200","5.048"
"2313","158.4840","4.922"
"2314","158.5638","5.081"
"2315","158.6119","4.933"
"2316","158.7078","5.056"
"2317","158.7558","4.919"
"2318","158.8518","4.948"
"2319","158.8838","4.956"
"2320","158.9477","4.933"
"2321","159.0117","4.967"
"2322","159.1077","4.937"
"2323","159.1718","4.944"
"2324","159.2357","4.967"
"2325","159.2996","4.919"
"2326","159.3636","4.959"
"2327","159.4276","4.904"
"2328","159.5238","4.978"
"2329","159.5726","4.948"
"2330","159.6680","4.963"
"2331","159.7161","4.956"
"2332","159.8125","4.937"
"2333","159.8594","4.944"
"2334","159.9233","4.904"
"2335","159.9873","4.956"
"2336","160.0513","4.930"
"2337","160.1153","4.937"
"2338","160.1792","4.919"
"2339","160.2753","4.956"
"2340","160.3237","4.900"
"2341","160.4031","4.937"
"2342","160.4991","4.926"
"2343","160.5471","4.926"
"2344","160.6271","4.915"
"2345","160.6590","4.941"
"2346","160.7550","4.911"
"2347","160.8190","4.933"
"2348","160.8829","4.911"
"2349","160.9471","4.937"
"2350","161.0111","4.896"
"2351","161.0749","4.922"
"2352","161.1709","4.907"
"2353","161.2514","4.930"
"2354","161.2995","4.915"
"2355","161.3949","4.900"
"2356","161.4429","4.904"
"2357","161.4908","4.904"
"2358","161.5869","4.933"
"2359","161.6357","4.885"
"2360","161.6988","4.907"
"2361","161.7628","4.904"
"2362","161.8279","4.896"
"2363","161.9230","4.885"
"2364","161.9709","4.889"
"2365","162.0349","4.870"
"2366","162.1306","4.885"
"2367","162.1946","4.852"
"2368","162.2585","4.878"
"2369","162.3225","4.859"
"2370","162.3867","4.881"
"2371","162.4824","4.852"
"2372","162.5305","4.878"
"2373","162.6264","4.870"
"2374","162.6744","4.852"
"2375","162.7544","4.885"
"2376","162.8024","4.852"
"2377","162.8663","4.885"
"2378","162.9303","4.833"
"2379","162.9943","4.893"
"2380","163.0583","4.863"
"2381","163.1543","4.867"
"2382","163.2182","4.852"
