"Viewer version","2.91"
"Measure start time","25 July 2023 16:08:09"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"1026","70.4476","0.481"
"1027","70.5433","0.548"
"1028","70.6072","0.170"
"1029","70.6712","0.381"
"1030","70.7351","0.181"
"1031","70.7993","0.263"
"1032","70.8634","0.252"
"1033","70.9590","0.189"
"1034","71.0390","0.296"
"1035","71.0869","0.141"
"1036","71.1829","0.337"
"1037","71.2149","0.137"
"1038","71.2789","0.285"
"1039","71.3428","0.056"
"1040","71.4068","0.611"
"1041","71.5027","-0.152"
"1042","71.5667","0.463"
"1043","71.6307","0.044"
"1044","71.6947","0.496"
"1045","71.7586","-0.170"
"1046","71.8546","0.507"
"1047","71.9345","-0.026"
"1048","71.9825","0.507"
"1049","72.0785","-0.119"
"1050","72.1265","0.474"
"1051","72.1744","0.041"
"1052","72.2704","0.433"
"1053","72.3183","-0.063"
"1054","72.3983","0.348"
"1055","72.4623","0.081"
"1056","72.5263","0.178"
"1057","72.5902","0.181"
"1058","72.6542","0.178"
"1059","72.7182","0.259"
"1060","72.7821","0.067"
"1061","72.8780","0.285"
"1062","72.9420","0.007"
"1063","73.0060","0.352"
"1064","73.1019","0.030"
"1065","73.1500","0.330"
"1066","73.2460","0.004"
"1067","73.2779","0.356"
"1068","73.3418","0.022"
"1069","73.4058","0.385"
"1070","73.4698","-0.011"
"1071","73.5665","0.404"
"1072","73.6458","0.000"
"1073","73.6777","0.426"
"1074","73.7899","-0.037"
"1075","73.8387","0.404"
"1076","73.9335","0.007"
"1077","73.9815","0.356"
"1078","74.0296","0.078"
"1079","74.0936","0.289"
"1080","74.1585","0.104"
"1081","74.2546","0.252"
"1082","74.3334","0.211"
"1083","74.3654","0.193"
"1084","74.4614","0.193"
"1085","74.5100","0.156"
"1086","74.6053","0.544"
"1087","74.6543","0.207"
"1088","74.7174","0.352"
"1089","74.7813","0.126"
"1090","74.8463","0.352"
"1091","74.9413","0.111"
"1092","75.0211","0.356"
"1093","75.0531","0.070"
"1094","75.1171","0.367"
"1095","75.2130","0.104"
"1096","75.2610","0.363"
"1097","75.3570","0.030"
"1098","75.4050","0.370"
"1099","75.5009","0.078"
"1100","75.5489","0.330"
"1101","75.6129","0.037"
"1102","75.6768","0.322"
"1103","75.7407","0.152"
"1104","75.8047","0.241"
"1105","75.8687","0.122"
"1106","75.9646","0.204"
"1107","76.0286","0.219"
"1108","76.0926","0.144"
"1109","76.1566","0.211"
"1110","76.2205","0.133"
"1111","76.2845","0.252"
"1112","76.3805","0.107"
"1113","76.4444","0.270"
"1114","76.4924","0.126"
"1115","76.5885","0.248"
"1116","76.6365","0.126"
"1117","76.7014","0.259"
"1118","76.7643","0.111"
"1119","76.8283","0.296"
"1120","76.9246","0.096"
"1121","76.9881","0.252"
"1122","77.0522","0.074"
"1123","77.1161","0.267"
"1124","77.1801","0.111"
"1125","77.2442","0.252"
"1126","77.3400","0.085"
"1127","77.3881","0.241"
"1128","77.4840","0.115"
"1129","77.5319","1.033"
"1130","77.6279","0.437"
"1131","77.6758","0.348"
"1132","77.7399","0.411"
"1133","77.8038","0.200"
"1134","77.8678","0.093"
"1135","77.9318","0.552"
"1136","77.9957","0.122"
"1137","78.0917","-0.030"
"1138","78.1557","0.567"
"1139","78.2196","0.059"
"1140","78.2836","0.170"
"1141","78.3476","0.315"
"1142","78.4115","0.315"
"1143","78.5235","0.052"
"1144","78.5715","0.433"
"1145","78.6674","0.170"
"1146","78.7156","0.193"
"1147","78.7634","0.352"
"1148","78.8594","0.244"
"1149","78.9073","0.159"
"1150","78.9873","0.333"
"1151","79.0193","0.233"
"1152","79.1152","0.156"
"1153","79.1792","0.281"
"1154","79.2431","0.344"
"1155","79.3071","0.115"
"1156","79.3711","0.281"
"1157","79.4671","0.315"
"1158","79.5310","0.193"
"1159","79.5950","0.211"
"1160","79.6910","0.263"
"1161","79.7395","0.219"
"1162","79.8196","0.119"
"1163","79.8509","0.304"
"1164","79.9148","0.159"
"1165","80.0108","0.211"
"1166","80.0749","0.170"
"1167","80.1556","0.270"
"1168","80.2347","0.152"
"1169","80.2827","0.244"
"1170","80.3791","0.215"
"1171","80.4267","0.200"
"1172","80.4906","0.215"
"1173","80.5546","0.252"
"1174","80.6194","0.181"
"1175","80.6826","0.189"
"1176","80.7471","0.233"
"1177","80.8115","0.259"
"1178","80.9064","0.156"
"1179","80.9544","0.222"
"1180","81.0510","0.207"
"1181","81.0983","0.233"
"1182","81.1944","0.152"
"1183","81.2424","0.219"
"1184","81.3393","0.200"
"1185","81.3702","0.207"
"1186","81.4345","0.196"
"1187","81.4984","0.185"
"1188","81.5621","0.248"
"1189","81.6580","0.174"
"1190","81.7221","0.222"
"1191","81.7871","0.167"
"1192","81.8500","0.248"
"1193","81.9139","0.193"
"1194","82.0099","0.219"
"1195","82.0579","0.178"
"1196","82.1538","0.274"
"1197","82.2019","0.156"
"1198","82.2659","0.200"
"1199","82.3298","0.189"
"1200","82.3938","0.256"
"1201","82.4577","0.170"
"1202","82.5537","0.211"
"1203","82.6176","0.226"
"1204","82.6816","0.233"
"1205","82.7456","0.207"
"1206","82.8096","0.148"
"1207","82.8735","0.270"
"1208","82.9375","0.163"
"1209","83.0334","0.230"
"1210","83.1134","0.152"
"1211","83.1613","0.211"
"1212","83.2573","0.193"
"1213","83.3053","0.174"
"1214","83.3532","0.207"
"1215","83.4492","0.204"
"1216","83.4972","0.189"
"1217","83.5612","0.152"
"1218","83.6251","0.241"
"1219","83.6891","0.215"
"1220","83.7853","0.178"
"1221","83.8499","0.196"
"1222","83.9133","0.215"
"1223","83.9773","0.230"
"1224","84.0409","0.174"
"1225","84.1049","0.211"
"1226","84.2013","0.215"
"1227","84.2808","0.189"
"1228","84.3128","0.222"
"1229","84.4097","0.185"
"1230","84.4567","0.211"
"1231","84.5527","0.193"
"1232","84.5846","0.222"
"1233","84.6486","0.196"
"1234","84.7445","0.233"
"1235","84.8085","0.189"
"1236","84.8725","0.233"
"1237","84.9365","0.215"
"1238","85.0005","0.204"
"1239","85.0644","0.300"
"1240","85.1603","1.030"
"1241","85.2083","0.541"
"1242","85.2883","0.622"
"1243","85.3842","0.481"
"1244","85.4321","0.374"
"1245","85.5281","0.337"
"1246","85.5760","0.307"
"1247","85.6080","0.307"
"1248","85.7040","0.304"
"1249","85.7680","0.293"
"1250","85.8319","0.296"
"1251","85.8959","0.270"
"1252","85.9598","0.267"
"1253","86.0239","0.300"
"1254","86.1198","0.259"
"1255","86.1840","0.267"
"1256","86.2801","0.256"
"1257","86.3277","0.263"
"1258","86.3759","0.307"
"1259","86.4396","0.222"
"1260","86.5035","0.263"
"1261","86.5995","0.263"
"1262","86.6635","0.270"
"1263","86.7275","0.230"
"1264","86.8074","0.237"
"1265","86.8554","0.259"
"1266","86.9514","0.241"
"1267","86.9994","0.259"
"1268","87.0953","0.259"
"1269","87.1432","0.263"
"1270","87.2232","0.219"
"1271","87.2552","0.256"
"1272","87.3511","0.274"
"1273","87.4151","0.215"
"1274","87.4791","0.241"
"1275","87.5430","0.274"
"1276","87.6070","0.252"
"1277","87.6709","0.207"
"1278","87.7669","0.274"
"1279","87.8308","0.270"
"1280","87.8948","0.233"
"1281","87.9748","0.233"
"1282","88.0548","0.237"
"1283","88.1027","0.259"
"1284","88.1987","0.248"
"1285","88.2467","0.230"
"1286","88.2951","0.207"
"1287","88.3909","0.281"
"1288","88.4386","0.233"
"1289","88.5346","0.226"
"1290","88.5829","0.244"
"1291","88.6465","0.259"
"1292","88.7104","0.263"
"1293","88.7744","0.233"
"1294","88.8384","0.267"
"1295","88.9343","0.241"
"1296","89.0143","0.233"
"1297","89.0623","0.252"
"1298","89.1582","0.256"
"1299","89.2063","0.293"
"1300","89.2702","0.241"
"1301","89.3342","0.244"
"1302","89.3982","0.244"
"1303","89.4621","0.267"
"1304","89.5260","0.219"
"1305","89.6220","0.319"
"1306","89.6860","0.207"
"1307","89.7501","0.241"
