"Viewer version","2.91"
"Measure start time","25 July 2023 13:35:29"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.0807","12.881"
"1","0.1768","13.019"
"2","0.2239","12.937"
"3","0.3201","12.952"
"4","0.3689","12.893"
"5","0.4008","12.937"
"6","0.4959","12.904"
"7","0.5598","12.889"
"8","0.6237","12.889"
"9","0.6879","12.863"
"10","0.7519","12.889"
"11","0.8476","12.811"
"12","0.9116","12.881"
"13","0.9756","12.804"
"14","1.0558","12.841"
"15","1.1040","12.841"
"16","1.1995","12.830"
"17","1.2475","12.815"
"18","1.3440","12.819"
"19","1.3925","12.796"
"20","1.4555","12.767"
"21","1.5196","12.722"
"22","1.5837","12.967"
"23","1.6475","12.663"
"24","1.7115","12.807"
"25","1.8084","12.626"
"26","1.8551","12.919"
"27","1.9511","12.611"
"28","2.0001","12.807"
"29","2.0954","12.656"
"30","2.1440","12.770"
"31","2.2390","12.693"
"32","2.2709","12.678"
"33","2.3350","12.719"
"34","2.3989","12.659"
"35","2.4628","12.700"
"36","2.5588","12.656"
"37","2.6228","12.693"
"38","2.6868","12.663"
"39","2.7507","12.696"
"40","2.8148","12.630"
"41","2.8786","12.663"
"42","2.9586","12.574"
"43","3.0545","12.696"
"44","3.1025","12.544"
"45","3.1505","12.685"
"46","3.2465","12.574"
"47","3.2944","12.663"
"48","3.3904","12.537"
"49","3.4384","12.667"
"50","3.5023","12.507"
"51","3.5663","12.622"
"52","3.6303","12.544"
"53","3.6942","12.541"
"54","3.7902","12.481"
"55","3.8542","12.637"
"56","3.9181","12.407"
"57","3.9821","12.589"
"58","4.0461","12.507"
"59","4.1100","12.500"
"60","4.2059","12.407"
"61","4.2859","12.574"
"62","4.3339","12.419"
"63","4.4298","12.533"
"64","4.4618","12.459"
"65","4.5258","12.419"
"66","4.5897","12.474"
"67","4.6538","12.463"
"68","4.7498","12.437"
"69","4.8138","12.433"
"70","4.9099","12.389"
"71","4.9579","12.452"
"72","5.0058","12.411"
"73","5.0698","12.400"
"74","5.1337","12.407"
"75","5.2296","12.359"
"76","5.2934","12.393"
"77","5.3574","12.337"
"78","5.4375","12.407"
"79","5.4855","12.289"
"80","5.5816","12.407"
"81","5.6296","12.315"
"82","5.6936","12.337"
"83","5.7576","12.289"
"84","5.8212","12.333"
"85","5.9171","12.307"
"86","5.9811","12.326"
"87","6.0451","12.259"
"88","6.1094","12.315"
"89","6.1733","12.219"
"90","6.2536","12.370"
"91","6.3495","12.181"
"92","6.3971","12.278"
"93","6.4453","12.219"
"94","6.5091","12.333"
"95","6.5728","12.141"
"96","6.6687","12.322"
"97","6.7329","12.115"
"98","6.7967","12.278"
"99","6.8610","12.141"
"100","6.9246","12.256"
"101","6.9889","12.144"
"102","7.0848","12.200"
"103","7.1327","12.152"
"104","7.2285","12.156"
"105","7.2764","12.170"
"106","7.3724","12.111"
"107","7.4203","12.193"
"108","7.5162","12.126"
"109","7.5642","12.130"
"110","7.6122","12.130"
"111","7.7081","12.133"
"112","7.7561","12.070"
"113","7.8201","12.126"
"114","7.8840","12.104"
"115","7.9480","12.104"
"116","8.0120","12.059"
"117","8.1079","12.130"
"118","8.1719","12.041"
"119","8.2359","12.096"
"120","8.2999","11.989"
"121","8.3638","12.085"
"122","8.4278","12.015"
"123","8.5237","12.074"
"124","8.5877","11.974"
"125","8.6517","12.126"
"126","8.7156","11.996"
"127","8.7796","12.011"
"128","8.8756","11.967"
"129","8.9235","12.115"
"130","9.0195","11.922"
"131","9.0675","12.048"
"132","9.1154","11.948"
"133","9.2114","12.033"
"134","9.2594","11.930"
"135","9.3553","11.996"
"136","9.4033","11.941"
"137","9.4672","11.967"
"138","9.5312","11.933"
"139","9.5952","11.926"
"140","9.6592","11.944"
"141","9.7232","11.944"
"142","9.8191","11.911"
"143","9.8831","11.911"
"144","9.9471","11.915"
"145","10.0110","11.885"
"146","10.0750","11.933"
"147","10.1390","11.837"
"148","10.2350","11.919"
"149","10.2989","11.848"
"150","10.3628","11.907"
"151","10.4429","11.837"
"152","10.4908","11.885"
"153","10.5868","11.822"
"154","10.6348","11.878"
"155","10.7308","11.815"
"156","10.7787","11.863"
"157","10.8746","11.789"
"158","10.9227","11.863"
"159","10.9706","11.785"
"160","11.0666","11.830"
"161","11.1146","11.763"
"162","11.1786","11.822"
"163","11.2425","11.752"
"164","11.3064","11.804"
"165","11.3704","11.759"
"166","11.4663","11.778"
"167","11.5302","11.759"
"168","11.5943","11.767"
"169","11.6582","11.744"
"170","11.7222","11.752"
"171","11.7862","11.767"
"172","11.8821","11.711"
"173","11.9621","11.752"
"174","12.0101","11.700"
"175","12.1060","11.748"
"176","12.1541","11.696"
"177","12.2020","11.744"
"178","12.2983","11.707"
"179","12.3462","11.700"
"180","12.4100","11.681"
"181","12.4740","11.730"
"182","12.5382","11.674"
"183","12.6339","11.700"
"184","12.6978","11.674"
"185","12.7617","11.685"
"186","12.8577","11.648"
"187","12.9057","11.681"
"188","12.9536","11.600"
"189","13.0497","11.685"
"190","13.0977","11.607"
"191","13.1779","11.633"
"192","13.2418","11.611"
"193","13.3056","11.644"
"194","13.3695","11.600"
"195","13.4335","11.596"
"196","13.4977","11.600"
"197","13.5934","11.619"
"198","13.6413","11.567"
"199","13.7376","11.585"
"200","13.7856","11.563"
"201","13.8495","11.578"
"202","13.9135","11.552"
"203","13.9772","11.559"
"204","14.0732","11.567"
"205","14.1371","11.511"
"206","14.2011","11.533"
"207","14.2651","11.526"
"208","14.3292","11.522"
"209","14.4092","11.530"
"210","14.5053","11.496"
"211","14.5534","11.456"
"212","14.6011","11.530"
"213","14.6973","11.474"
"214","14.7289","11.500"
"215","14.7928","11.459"
"216","14.8888","11.511"
"217","14.9527","11.448"
"218","15.0168","11.474"
"219","15.0807","11.444"
"220","15.1447","11.463"
"221","15.2087","11.444"
"222","15.3047","11.441"
"223","15.3686","11.437"
"224","15.4326","11.426"
"225","15.4966","11.444"
"226","15.5605","11.426"
"227","15.6245","11.400"
"228","15.7045","11.389"
"229","15.8004","11.393"
"230","15.8483","11.415"
"231","15.9443","11.378"
"232","15.9923","11.407"
"233","16.0403","11.367"
"234","16.1362","11.367"
"235","16.1842","11.381"
"236","16.2641","11.352"
"237","16.3281","11.363"
"238","16.3921","11.337"
"239","16.4561","11.359"
"240","16.5201","11.319"
"241","16.5841","11.367"
"242","16.6800","11.307"
"243","16.7440","11.333"
"244","16.8079","11.330"
"245","16.8719","11.319"
"246","16.9360","11.293"
"247","17.0158","11.330"
"248","17.0958","11.322"
"249","17.1437","11.319"
"250","17.2397","11.256"
"251","17.2877","11.300"
"252","17.3836","11.300"
"253","17.4316","11.270"
"254","17.4798","11.281"
"255","17.5595","11.274"
"256","17.6235","11.237"
"257","17.6875","11.274"
"258","17.7514","11.241"
"259","17.8153","11.248"
"260","17.9113","11.219"
"261","17.9752","11.256"
"262","18.0392","11.226"
"263","18.1032","11.211"
"264","18.1673","11.233"
"265","18.2315","11.215"
"266","18.3275","11.204"
"267","18.3754","11.181"
"268","18.4711","11.207"
"269","18.5033","11.170"
"270","18.5682","11.219"
"271","18.6629","11.170"
"272","18.7269","11.189"
"273","18.7909","11.189"
"274","18.8548","11.174"
"275","18.9189","11.185"
"276","18.9837","11.159"
"277","19.0789","11.133"
"278","19.1268","11.170"
"279","19.2238","11.148"
"280","19.2706","11.163"
"281","19.3666","11.115"
"282","19.4145","11.133"
"283","19.5105","11.107"
"284","19.5587","11.137"
"285","19.5904","11.111"
"286","19.6866","11.115"
"287","19.7516","11.093"
"288","19.8145","11.130"
"289","19.8786","11.070"
"290","19.9743","11.104"
"291","20.0223","11.081"
"292","20.1186","11.085"
"293","20.1664","11.096"
"294","20.2462","11.081"
"295","20.2787","11.104"
"296","20.3742","11.085"
"297","20.4382","11.030"
"298","20.5021","11.089"
"299","20.5661","11.070"
"300","20.6301","11.041"
"301","20.7262","11.070"
"302","20.8063","11.052"
"303","20.8543","11.070"
"304","20.9511","11.015"
"305","20.9991","11.063"
"306","21.0471","11.015"
"307","21.1101","11.074"
"308","21.1741","10.970"
"309","21.2699","11.048"
"310","21.3340","10.989"
"311","21.3978","11.015"
"312","21.4617","10.963"
"313","21.5258","11.026"
"314","21.6217","10.952"
"315","21.6697","10.963"
"316","21.7657","10.981"
"317","21.8137","10.959"
"318","21.9097","10.944"
"319","21.9577","10.948"
"320","22.0056","10.944"
"321","22.1016","10.930"
"322","22.1335","10.919"
"323","22.1975","10.948"
"324","22.2935","10.944"
"325","22.3575","10.904"
"326","22.4215","10.941"
"327","22.4854","10.915"
"328","22.5494","10.900"
"329","22.6133","10.915"
"330","22.7093","10.930"
"331","22.7734","10.878"
"332","22.8374","10.919"
"333","22.9014","10.893"
"334","22.9653","10.911"
"335","23.0293","10.859"
"336","23.1253","10.900"
"337","23.1893","10.867"
"338","23.2533","10.889"
"339","23.3492","10.859"
"340","23.3972","10.867"
"341","23.4452","10.819"
"342","23.5412","10.878"
"343","23.5731","10.841"
"344","23.6372","10.833"
"345","23.7332","10.830"
"346","23.7972","10.822"
"347","23.8614","10.800"
"348","23.9257","10.859"
"349","23.9892","10.822"
"350","24.0691","10.804"
"351","24.1657","10.785"
"352","24.2138","10.815"
