"Viewer version","2.91"
"Measure start time","25 July 2023 13:33:57"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.1111","72.363"
"1","0.1591","72.663"
"2","0.2070","72.263"
"3","0.3030","72.648"
"4","0.3510","72.474"
"5","0.4470","72.315"
"6","0.4949","72.530"
"7","0.5910","72.600"
"8","0.6388","72.500"
"9","0.6868","72.515"
"10","0.7509","72.574"
"11","0.8148","72.826"
"12","0.8788","72.896"
"13","0.9748","72.785"
"14","1.0388","72.815"
"15","1.1027","72.537"
"16","1.1667","72.852"
"17","1.2307","72.852"
"18","1.3267","72.896"
"19","1.4067","72.878"
"20","1.4551","72.841"
"21","1.5507","72.881"
"22","1.5992","72.752"
"23","1.6308","72.878"
"24","1.7273","73.156"
"25","1.7916","72.774"
"26","1.8544","73.070"
"27","1.9184","73.185"
"28","1.9825","72.663"
"29","2.0782","73.074"
"30","2.1422","73.226"
"31","2.2063","72.893"
"32","2.3033","73.315"
"33","2.3504","72.963"
"34","2.4149","73.326"
"35","2.4781","73.011"
"36","2.5420","73.181"
"37","2.6061","73.096"
"38","2.6700","73.196"
"39","2.7339","73.044"
"40","2.8298","73.219"
"41","2.8939","73.052"
"42","2.9578","73.200"
"43","3.0378","73.000"
"44","3.0857","73.263"
"45","3.1817","72.981"
"46","3.2297","73.311"
"47","3.3257","73.219"
"48","3.3737","73.178"
"49","3.4696","73.070"
"50","3.5175","73.185"
"51","3.5656","73.156"
"52","3.6615","73.307"
"53","3.6934","73.230"
"54","3.7574","73.307"
"55","3.8534","73.337"
"56","3.9174","72.881"
"57","3.9813","73.556"
"58","4.0453","72.693"
"59","4.1092","73.748"
"60","4.1732","72.863"
"61","4.2703","73.430"
"62","4.3171","73.196"
"63","4.3811","73.167"
"64","4.4610","73.104"
"65","4.5581","73.444"
"66","4.6052","72.830"
"67","4.7010","73.711"
"68","4.7489","72.670"
"69","4.7969","73.619"
"70","4.8930","72.685"
"71","4.9249","73.685"
"72","4.9891","73.219"
"73","5.0850","73.330"
"74","5.1490","73.144"
"75","5.2130","73.189"
"76","5.2769","73.307"
"77","5.3408","73.126"
"78","5.4365","73.178"
"79","5.4845","73.096"
"80","5.5805","73.167"
"81","5.6285","73.156"
"82","5.6928","73.122"
"83","5.7564","73.281"
"84","5.8206","73.296"
"85","5.8846","73.067"
"86","5.9487","73.496"
"87","6.0605","72.607"
"88","6.1086","73.485"
"89","6.2042","72.915"
"90","6.2522","73.444"
"91","6.3003","72.948"
"92","6.3964","73.304"
"93","6.4285","73.033"
"94","6.4925","73.278"
"95","6.5883","73.278"
"96","6.6522","73.311"
"97","6.7162","73.007"
"98","6.7959","73.174"
"99","6.8598","73.100"
"100","6.9238","73.370"
"101","7.0043","73.167"
"102","7.0519","73.096"
"103","7.1483","73.393"
"104","7.1957","73.044"
"105","7.2918","73.381"
"106","7.3237","72.919"
"107","7.3876","73.263"
"108","7.4516","73.200"
"109","7.5475","73.185"
"110","7.6115","73.237"
"111","7.6754","73.211"
"112","7.7396","72.930"
"113","7.8039","73.356"
"114","7.8836","72.926"
"115","7.9800","73.456"
"116","8.0279","72.726"
"117","8.0759","73.430"
"118","8.1712","72.774"
"119","8.2192","73.619"
"120","8.3151","72.807"
"121","8.3634","73.533"
"122","8.4590","72.893"
"123","8.5070","73.330"
"124","8.5710","72.889"
"125","8.6350","73.152"
"126","8.6989","72.863"
"127","8.7629","73.152"
"128","8.8269","72.874"
"129","8.8909","73.467"
"130","8.9868","72.919"
"131","9.0507","73.230"
"132","9.1147","73.074"
"133","9.1787","73.204"
"134","9.2427","72.819"
"135","9.3067","73.167"
"136","9.3706","72.919"
"137","9.4666","73.348"
"138","9.5466","73.004"
"139","9.5785","73.004"
"140","9.6904","73.189"
"141","9.7384","72.896"
"142","9.7865","73.178"
"143","9.8824","73.115"
"144","9.9303","73.037"
"145","10.0264","72.959"
"146","10.0743","73.156"
"147","10.1383","72.907"
"148","10.2023","73.093"
"149","10.2663","72.863"
"150","10.3302","73.219"
"151","10.3942","72.689"
"152","10.4902","73.374"
"153","10.5541","72.737"
"154","10.6180","73.130"
"155","10.6822","72.719"
"156","10.7621","73.181"
"157","10.8260","72.904"
"158","10.8900","72.974"
"159","10.9540","72.993"
"160","11.0342","72.933"
"161","11.1141","72.926"
"162","11.1622","73.133"
"163","11.2422","73.081"
"164","11.3059","72.541"
"165","11.3699","73.333"
"166","11.4341","72.485"
"167","11.5138","73.311"
"168","11.5938","72.456"
"169","11.6418","73.374"
"170","11.7378","72.385"
"171","11.7857","73.315"
"172","11.8498","72.533"
"173","11.9137","73.204"
"174","11.9780","72.622"
"175","12.0418","73.156"
"176","12.1379","72.744"
"177","12.2015","72.911"
"178","12.2655","72.752"
"179","12.3297","72.985"
"180","12.4256","72.641"
"181","12.4736","72.915"
"182","12.5697","72.670"
"183","12.6014","72.896"
"184","12.6655","72.830"
"185","12.7293","73.037"
"186","12.7937","72.741"
"187","12.8572","72.881"
"188","12.9532","72.641"
"189","13.0174","72.770"
"190","13.0812","72.711"
"191","13.1615","72.700"
"192","13.2253","72.811"
"193","13.3052","72.752"
"194","13.3851","72.926"
"195","13.4334","72.633"
"196","13.5290","72.819"
"197","13.5770","72.737"
"198","13.6251","72.670"
"199","13.7052","72.767"
"200","13.7691","72.841"
"201","13.8491","72.704"
"202","13.9129","72.826"
