"Viewer version","2.91"
"Measure start time","24 July 2023 11:51:22"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.0800","1.270"
"1","0.1440","1.263"
"2","0.2079","1.248"
"3","0.2719","1.256"
"4","0.3681","1.233"
"5","0.4319","1.230"
"6","0.5117","1.274"
"7","0.5600","1.252"
"8","0.6560","1.233"
"9","0.7042","1.259"
"10","0.7997","1.226"
"11","0.8322","1.226"
"12","0.8956","1.230"
"13","0.9596","1.259"
"14","1.0239","1.219"
"15","1.1201","1.256"
"16","1.1840","1.237"
"17","1.2476","1.237"
"18","1.3275","1.233"
"19","1.3756","1.222"
"20","1.4715","1.248"
"21","1.5194","1.252"
"22","1.6153","1.226"
"23","1.6636","1.219"
"24","1.7275","1.196"
"25","1.7915","1.241"
"26","1.8555","1.193"
"27","1.9194","1.267"
"28","1.9994","1.200"
"29","2.0634","1.237"
"30","2.1591","1.219"
"31","2.2071","1.215"
"32","2.3031","1.211"
"33","2.3510","1.241"
"34","2.4470","1.204"
"35","2.4950","1.233"
"36","2.5429","1.241"
"37","2.6229","1.211"
"38","2.6869","1.215"
"39","2.7508","1.248"
"40","2.8148","1.215"
"41","2.8788","1.256"
"42","2.9427","1.200"
"43","3.0067","1.189"
"44","3.1027","1.219"
"45","3.1667","1.244"
"46","3.2307","1.222"
"47","3.2946","1.230"
"48","3.3586","1.248"
"49","3.4225","1.207"
"50","3.5185","1.193"
"51","3.5825","1.230"
"52","3.6625","1.200"
"53","3.7105","1.226"
"54","3.7905","1.237"
"55","3.8875","1.189"
"56","3.9344","1.215"
"57","3.9823","1.237"
"58","4.0462","1.207"
"59","4.1103","1.219"
"60","4.2066","1.237"
"61","4.2702","1.215"
"62","4.3341","1.215"
"63","4.3981","1.219"
"64","4.4620","1.178"
"65","4.5260","1.204"
"66","4.6220","1.226"
"67","4.6700","1.204"
"68","4.7659","1.196"
"69","4.8139","1.233"
