"Viewer version","2.91"
"Measure start time","24 July 2023 11:42:59"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.0800","78.833"
"1","0.1439","79.074"
"2","0.2079","79.067"
"3","0.2879","78.681"
"4","0.3519","79.030"
"5","0.4480","79.041"
"6","0.4958","78.685"
"7","0.5917","79.389"
"8","0.6243","78.915"
"9","0.6876","79.400"
"10","0.7516","78.870"
"11","0.8157","79.619"
"12","0.9127","78.941"
"13","0.9926","79.233"
"14","1.0396","79.159"
"15","1.1357","79.374"
"16","1.1842","79.167"
"17","1.2644","79.330"
"18","1.2953","79.370"
"19","1.3592","79.489"
"20","1.4552","79.367"
"21","1.5192","79.363"
"22","1.5832","79.519"
"23","1.6472","79.485"
"24","1.7271","79.419"
"25","1.8230","79.426"
"26","1.8710","79.585"
"27","1.9190","79.463"
"28","2.0150","79.504"
"29","2.0630","79.441"
"30","2.1589","79.296"
"31","2.2069","79.463"
"32","2.3028","79.622"
"33","2.3508","79.452"
"34","2.3988","79.581"
"35","2.4947","79.563"
"36","2.5427","79.574"
"37","2.6387","79.667"
"38","2.6866","79.274"
"39","2.7826","79.648"
"40","2.8305","79.611"
"41","2.8625","79.737"
"42","2.9585","79.604"
"43","3.0225","79.537"
"44","3.0864","79.452"
"45","3.1504","79.485"
"46","3.2144","79.763"
"47","3.2786","79.611"
"48","3.3743","79.489"
"49","3.4383","79.515"
"50","3.5182","79.815"
"51","3.5821","79.626"
"52","3.6624","79.615"
"53","3.7104","79.556"
"54","3.8063","79.422"
"55","3.8543","79.726"
"56","3.9023","79.593"
"57","3.9820","79.419"
"58","4.0459","79.637"
"59","4.1098","79.689"
"60","4.1738","79.585"
"61","4.2378","79.619"
"62","4.3341","79.667"
"63","4.3821","79.730"
"64","4.4780","79.744"
"65","4.5259","79.170"
"66","4.5897","80.252"
"67","4.6537","79.448"
"68","4.7176","79.715"
"69","4.7815","79.756"
"70","4.8775","79.426"
"71","4.9414","79.730"
"72","5.0054","79.311"
"73","5.0696","79.878"
"74","5.1494","79.230"
"75","5.1977","80.004"
"76","5.2936","79.326"
"77","5.3416","79.981"
"78","5.4374","79.404"
"79","5.4857","79.663"
"80","5.5491","79.230"
"81","5.6131","79.737"
"82","5.6771","79.644"
"83","5.7411","79.648"
"84","5.8051","79.270"
"85","5.9012","79.793"
"86","5.9653","79.574"
"87","6.0294","79.559"
"88","6.1252","79.463"
"89","6.1732","79.559"
"90","6.2689","79.552"
"91","6.3168","79.648"
"92","6.3809","79.526"
"93","6.4450","79.678"
"94","6.5092","79.241"
"95","6.5729","79.907"
"96","6.6370","79.522"
"97","6.7333","79.367"
"98","6.7807","79.585"
"99","6.8766","79.737"
"100","6.9085","79.767"
"101","6.9728","79.230"
"102","7.0365","79.563"
"103","7.1332","79.467"
"104","7.2128","79.607"
"105","7.2767","79.607"
"106","7.3404","79.641"
"107","7.4207","79.422"
"108","7.4688","79.422"
"109","7.5642","79.407"
"110","7.6124","79.522"
"111","7.6932","79.374"
"112","7.7244","79.493"
"113","7.8201","79.681"
"114","7.8841","79.574"
"115","7.9481","79.344"
"116","8.0121","79.359"
"117","8.0760","79.341"
"118","8.1401","79.693"
"119","8.2040","79.378"
"120","8.3000","79.570"
"121","8.3639","79.552"
"122","8.4279","79.381"
"123","8.4918","79.485"
"124","8.5558","79.385"
"125","8.6358","79.274"
"126","8.7317","79.563"
"127","8.7798","79.789"
"128","8.8277","79.115"
"129","8.9237","79.756"
"130","8.9717","79.578"
"131","9.0676","79.367"
"132","9.1156","79.504"
"133","9.2116","79.537"
"134","9.2596","79.389"
"135","9.3555","79.504"
"136","9.4034","79.504"
"137","9.4354","79.393"
"138","9.4993","79.522"
"139","9.5953","79.226"
"140","9.6593","79.396"
"141","9.7232","79.370"
"142","9.7874","79.304"
"143","9.8512","79.644"
"144","9.9151","79.367"
"145","10.0111","79.089"
"146","10.0751","79.133"
"147","10.1390","79.744"
"148","10.2190","78.926"
"149","10.2990","79.404"
"150","10.3471","79.244"
"151","10.4441","79.130"
"152","10.4911","79.633"
"153","10.5388","79.319"
"154","10.6348","79.726"
"155","10.6838","79.148"
"156","10.7479","79.456"
"157","10.8119","78.937"
"158","10.8748","79.619"
"159","10.9709","78.874"
"160","11.0348","79.656"
"161","11.0998","79.059"
"162","11.1946","79.544"
"163","11.2425","79.148"
"164","11.3225","79.541"
"165","11.3704","79.011"
"166","11.4664","79.315"
"167","11.5144","79.322"
"168","11.6103","79.078"
"169","11.6593","79.319"
"170","11.6903","79.437"
"171","11.7865","79.215"
"172","11.8506","78.852"
"173","11.9142","79.715"
"174","11.9781","78.919"
"175","12.0591","79.281"
"176","12.1541","79.156"
"177","12.1860","79.444"
"178","12.2500","78.833"
"179","12.3140","79.604"
"180","12.3782","78.915"
"181","12.4740","79.559"
"182","12.5380","78.833"
"183","12.6018","79.478"
"184","12.6658","78.737"
"185","12.7621","79.804"
"186","12.8100","78.426"
"187","12.9059","79.593"
"188","12.9380","78.630"
"189","13.0019","79.389"
"190","13.0659","78.674"
"191","13.1296","79.626"
"192","13.2255","78.889"
"193","13.3054","79.300"
"194","13.3534","78.896"
"195","13.4493","79.467"
"196","13.4974","78.722"
"197","13.5933","79.419"
"198","13.6412","78.807"
"199","13.6732","79.374"
"200","13.7692","78.881"
"201","13.8332","79.026"
"202","13.8971","79.007"
"203","13.9611","78.989"
"204","14.0250","79.267"
"205","14.0890","79.015"
"206","14.1849","79.263"
"207","14.2489","78.856"
"208","14.3129","79.370"
"209","14.3771","78.737"
"210","14.4568","79.315"
"211","14.5207","78.889"
"212","14.5847","79.385"
"213","14.6647","78.667"
"214","14.7126","79.267"
"215","14.8086","78.670"
"216","14.8566","79.348"
"217","14.9525","78.770"
"218","15.0005","79.363"
"219","15.0964","78.556"
"220","15.1445","79.496"
"221","15.1924","78.681"
"222","15.2884","79.389"
"223","15.3363","78.552"
"224","15.4163","79.178"
"225","15.4482","78.752"
"226","15.5442","79.133"
"227","15.6082","78.656"
"228","15.6732","79.241"
"229","15.7360","78.837"
"230","15.8006","79.256"
"231","15.8961","78.907"
"232","15.9440","79.256"
"233","16.0240","78.611"
"234","16.1211","79.204"
"235","16.1679","78.693"
"236","16.2159","79.156"
"237","16.2804","78.693"
"238","16.3438","79.207"
"239","16.4399","78.496"
"240","16.4880","79.074"
"241","16.5517","78.841"
"242","16.6477","78.985"
"243","16.6956","78.730"
"244","16.7916","78.881"
"245","16.8238","78.781"
"246","16.8887","79.000"
"247","16.9836","78.744"
"248","17.0486","78.744"
"249","17.1117","78.796"
"250","17.1754","78.807"
"251","17.2393","79.093"
"252","17.3033","78.819"
"253","17.4002","78.896"
"254","17.4633","78.741"
"255","17.5433","78.948"
"256","17.6241","78.759"
"257","17.6723","79.015"
"258","17.7196","78.593"
"259","17.8156","79.011"
"260","17.8472","78.537"
"261","17.9429","78.870"
"262","18.0079","78.822"
"263","18.0715","78.874"
"264","18.1351","78.730"
"265","18.2155","78.974"
"266","18.3109","78.593"
"267","18.3428","78.907"
"268","18.4071","78.478"
"269","18.4709","78.819"
"270","18.5346","78.411"
"271","18.6306","78.926"
"272","18.6946","78.422"
"273","18.7585","79.041"
"274","18.8236","78.593"
"275","18.8875","78.748"
"276","18.9835","78.848"
"277","19.0309","78.248"
"278","19.1110","78.611"
"279","19.1744","78.630"
"280","19.2384","78.993"
