"Viewer version","2.91"
"Measure start time","24 July 2023 11:26:01"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.1120","17.404"
"1","0.1599","17.337"
"2","0.2081","17.459"
"3","0.3041","17.348"
"4","0.3522","17.519"
"5","0.4158","17.367"
"6","0.4797","17.459"
"7","0.5439","17.285"
"8","0.6398","17.548"
"9","0.7199","17.315"
"10","0.7681","17.459"
"11","0.8637","17.337"
"12","0.9116","17.481"
"13","0.9596","17.330"
"14","1.0555","17.485"
"15","1.1035","17.296"
"16","1.1996","17.415"
"17","1.2321","17.341"
"18","1.2963","17.578"
"19","1.3596","17.396"
"20","1.4558","17.481"
"21","1.5196","17.285"
"22","1.5833","17.489"
"23","1.6473","17.274"
"24","1.7113","17.489"
"25","1.7753","17.356"
"26","1.8712","17.581"
"27","1.9351","17.344"
"28","1.9991","17.452"
"29","2.0631","17.422"
"30","2.1271","17.467"
"31","2.1911","17.385"
"32","2.3030","17.374"
"33","2.3510","17.419"
"34","2.3990","17.441"
"35","2.4950","17.419"
"36","2.5429","17.504"
"37","2.6388","17.422"
"38","2.6708","17.430"
"39","2.7348","17.407"
"40","2.7988","17.407"
"41","2.8947","17.456"
"42","2.9587","17.356"
"43","3.0227","17.500"
"44","3.0867","17.293"
"45","3.1507","17.489"
"46","3.2146","17.393"
"47","3.3106","17.519"
"48","3.3746","17.393"
"49","3.4545","17.444"
"50","3.5185","17.348"
"51","3.5984","17.607"
"52","3.6467","17.378"
"53","3.7425","17.474"
"54","3.7904","17.352"
"55","3.8703","17.530"
"56","3.9023","17.311"
"57","3.9662","17.630"
"58","4.0305","17.281"
"59","4.1262","17.552"
"60","4.1901","17.219"
"61","4.2543","17.578"
"62","4.3181","17.322"
"63","4.3822","17.530"
"64","4.4783","17.281"
"65","4.5260","17.496"
"66","4.5900","17.367"
"67","4.6701","17.596"
"68","4.7658","17.244"
"69","4.8141","17.552"
"70","4.9100","17.319"
"71","4.9580","17.585"
"72","4.9898","17.326"
"73","5.0859","17.456"
"74","5.1498","17.352"
"75","5.2137","17.489"
"76","5.2777","17.481"
"77","5.3416","17.474"
"78","5.4378","17.304"
"79","5.4857","17.485"
"80","5.5657","17.378"
"81","5.6618","17.396"
"82","5.7096","17.448"
