"Viewer version","2.91"
"Measure start time","24 July 2023 11:19:55"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"0","0.0799","59.181"
"1","0.1439","58.837"
"2","0.2399","59.274"
"3","0.2879","58.715"
"4","0.3839","59.474"
"5","0.4318","58.633"
"6","0.5278","59.356"
"7","0.5757","58.878"
"8","0.6078","59.444"
"9","0.7037","58.730"
"10","0.7676","59.685"
"11","0.8317","58.744"
"12","0.8956","59.637"
"13","0.9597","58.578"
"14","1.0235","59.533"
"15","1.1195","58.959"
"16","1.1834","59.500"
"17","1.2476","58.922"
"18","1.3433","59.748"
"19","1.3913","58.959"
"20","1.4393","59.441"
"21","1.5353","59.074"
"22","1.5833","59.259"
"23","1.6792","59.244"
"24","1.7271","59.400"
"25","1.8071","59.404"
"26","1.8391","59.333"
"27","1.9350","59.489"
"28","1.9990","59.122"
"29","2.0630","59.500"
"30","2.1269","59.233"
"31","2.1909","59.470"
"32","2.2549","59.296"
"33","2.3508","59.519"
"34","2.4308","59.156"
"35","2.4628","59.663"
"36","2.5427","59.070"
"37","2.6387","59.611"
"38","2.6867","59.174"
"39","2.7830","59.696"
"40","2.8307","58.978"
"41","2.8787","59.889"
"42","2.9746","58.733"
"43","3.0065","59.793"
"44","3.0705","59.067"
"45","3.1665","59.719"
"46","3.2304","58.989"
"47","3.2945","59.893"
"48","3.3583","58.963"
"49","3.4226","59.789"
"50","3.4864","59.019"
"51","3.5822","59.667"
"52","3.6304","59.096"
"53","3.7264","59.789"
"54","3.7744","59.156"
"55","3.8542","59.607"
"56","3.9184","59.207"
"57","3.9825","59.826"
"58","4.0623","59.074"
"59","4.1260","59.889"
"60","4.1741","58.996"
"61","4.2540","59.878"
"62","4.3180","59.026"
"63","4.3980","59.593"
"64","4.4942","58.978"
"65","4.5422","59.748"
"66","4.5901","59.044"
"67","4.6701","59.896"
"68","4.7342","59.004"
"69","4.7978","59.904"
"70","4.8617","59.178"
"71","4.9259","59.585"
"72","4.9900","59.470"
"73","5.0857","59.519"
"74","5.1340","59.178"
"75","5.2136","59.467"
"76","5.2937","59.344"
"77","5.3256","59.404"
"78","5.4214","59.485"
"79","5.4854","59.359"
"80","5.5494","59.278"
"81","5.6134","59.433"
"82","5.6774","59.526"
"83","5.7733","59.100"
"84","5.8373","59.759"
"85","5.9013","58.974"
"86","5.9652","59.744"
"87","6.0612","59.056"
"88","6.1092","59.630"
"89","6.1572","59.200"
"90","6.2531","59.352"
"91","6.3011","59.485"
"92","6.3970","59.696"
"93","6.4290","59.111"
"94","6.4929","59.533"
"95","6.5889","58.922"
"96","6.6529","59.544"
"97","6.7168","59.300"
"98","6.7808","59.700"
"99","6.8448","59.211"
"100","6.9087","59.874"
"101","6.9889","58.893"
"102","7.0691","59.707"
"103","7.1171","59.104"
"104","7.2126","59.433"
"105","7.2606","58.933"
"106","7.3407","59.844"
"107","7.4044","59.126"
"108","7.4684","59.756"
"109","7.5324","58.785"
"110","7.5963","59.815"
"111","7.6603","58.852"
"112","7.7563","59.833"
"113","7.8043","58.815"
"114","7.9002","59.704"
"115","7.9481","58.852"
"116","8.0441","59.696"
"117","8.0762","59.070"
"118","8.1401","59.663"
"119","8.2040","58.922"
"120","8.3000","59.781"
"121","8.3639","59.219"
"122","8.4279","59.600"
"123","8.4919","58.970"
"124","8.5558","59.356"
"125","8.6198","59.259"
"126","8.7159","59.452"
"127","8.7638","59.226"
"128","8.8600","59.437"
"129","8.9077","59.407"
"130","9.0040","59.515"
"131","9.0364","59.330"
"132","9.1001","59.278"
