"Viewer version","2.91"
"Measure start time","25 July 2023 15:50:54"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"2803","192.0383","8.004"
"2804","192.1347","7.989"
"2805","192.1817","7.985"
"2806","192.2300","7.981"
"2807","192.3096","7.963"
"2808","192.3736","7.993"
"2809","192.4375","7.974"
"2810","192.5015","7.952"
"2811","192.5975","7.922"
"2812","192.6454","8.015"
"2813","192.7414","7.952"
"2814","192.7894","7.919"
"2815","192.8853","7.963"
"2816","192.9333","7.981"
"2817","193.0292","7.874"
"2818","193.0772","8.104"
"2819","193.1412","7.800"
"2820","193.2051","8.022"
"2821","193.2691","7.922"
"2822","193.3330","7.989"
"2823","193.3970","7.885"
"2824","193.4610","7.956"
"2825","193.5249","7.978"
"2826","193.6209","7.896"
"2827","193.6848","7.956"
"2828","193.7488","7.907"
"2829","193.8127","7.963"
"2830","193.8767","7.922"
"2831","193.9407","7.889"
"2832","194.0367","7.956"
"2833","194.0846","7.915"
"2834","194.1806","7.885"
"2835","194.2287","7.919"
"2836","194.3089","7.963"
"2837","194.3728","7.863"
"2838","194.4368","7.922"
"2839","194.5016","8.011"
"2840","194.5644","7.885"
"2841","194.6284","7.889"
"2842","194.6924","7.948"
"2843","194.7884","7.937"
"2844","194.8683","7.841"
"2845","194.9162","7.963"
"2846","194.9802","7.904"
"2847","195.0442","7.874"
"2848","195.1081","7.896"
"2849","195.1722","7.944"
"2850","195.2681","7.885"
"2851","195.3322","7.863"
"2852","195.4121","7.948"
"2853","195.4760","7.926"
"2854","195.5400","7.852"
"2855","195.6040","7.870"
"2856","195.6680","7.985"
"2857","195.7321","7.841"
"2858","195.7959","7.852"
"2859","195.8758","7.904"
"2860","195.9718","7.933"
"2861","196.0198","7.837"
"2862","196.0677","7.844"
"2863","196.1639","7.874"
"2864","196.2118","7.837"
"2865","196.2918","7.852"
"2866","196.3556","7.863"
"2867","196.4196","7.785"
"2868","196.4836","7.915"
"2869","196.5479","7.837"
