"Viewer version","2.91"
"Measure start time","25 July 2023 15:50:54"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","0"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","203900007"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"1005","68.8952","44.256"
"1006","68.9431","44.578"
"1007","69.0074","44.319"
"1008","69.0715","44.689"
"1009","69.1351","44.344"
"1010","69.2319","44.656"
"1011","69.2791","44.315"
"1012","69.3751","44.663"
"1013","69.4230","44.411"
"1014","69.5189","44.396"
"1015","69.5669","44.289"
"1016","69.6479","44.511"
"1017","69.6798","44.478"
"1018","69.7747","44.374"
"1019","69.8387","44.396"
"1020","69.9026","44.533"
"1021","69.9667","44.307"
"1022","70.0307","44.263"
"1023","70.1266","44.767"
"1024","70.1746","44.185"
"1025","70.2706","44.526"
"1026","70.3185","44.281"
"1027","70.3986","44.704"
"1028","70.4306","44.019"
"1029","70.5269","44.530"
"1030","70.5904","44.507"
"1031","70.6544","44.693"
"1032","70.7183","44.037"
"1033","70.7823","44.463"
"1034","70.8463","44.459"
"1035","70.9422","44.489"
"1036","71.0072","44.200"
"1037","71.0704","44.356"
"1038","71.1504","44.507"
"1039","71.1985","44.659"
"1040","71.2944","43.441"
"1041","71.3421","45.115"
"1042","71.4380","44.470"
"1043","71.4859","44.326"
"1044","71.5821","43.337"
"1045","71.6139","45.452"
"1046","71.6782","44.500"
"1047","71.7420","43.541"
"1048","71.8060","44.467"
"1049","71.9017","44.748"
"1050","71.9497","45.430"
"1051","72.0296","41.770"
"1052","72.1256","46.252"
"1053","72.1736","44.867"
"1054","72.2215","42.804"
"1055","72.3175","44.563"
"1056","72.3495","45.637"
"1057","72.4455","43.363"
"1058","72.5095","44.000"
"1059","72.5735","45.307"
"1060","72.6374","43.807"
"1061","72.7014","43.896"
"1062","72.7653","45.259"
"1063","72.8613","43.400"
"1064","72.9252","44.770"
"1065","72.9892","44.396"
"1066","73.0532","44.344"
"1067","73.1492","43.685"
"1068","73.1971","45.270"
"1069","73.2931","44.200"
"1070","73.3415","43.452"
"1071","73.3894","45.152"
"1072","73.4856","44.022"
"1073","73.5330","44.293"
"1074","73.6295","44.185"
"1075","73.6772","44.830"
"1076","73.7569","43.893"
"1077","73.7889","44.519"
"1078","73.8529","44.422"
"1079","73.9488","43.933"
"1080","74.0128","44.511"
"1081","74.0768","44.215"
"1082","74.1408","44.307"
"1083","74.2049","43.933"
"1084","74.2686","44.470"
"1085","74.3646","44.374"
"1086","74.4286","43.867"
"1087","74.4926","44.648"
"1088","74.5565","44.007"
"1089","74.6205","44.515"
"1090","74.7005","43.941"
"1091","74.7964","44.496"
"1092","74.8444","44.285"
"1093","74.8924","44.096"
"1094","74.9883","44.230"
"1095","75.0203","44.122"
"1096","75.1003","44.585"
"1097","75.1643","43.933"
"1098","75.2283","44.359"
"1099","75.2922","44.067"
"1100","75.3882","44.337"
"1101","75.4521","44.378"
"1102","75.5163","43.948"
"1103","75.5801","44.311"
"1104","75.6440","44.285"
"1105","75.7080","44.259"
"1106","75.8043","43.830"
"1107","75.8842","44.278"
"1108","75.9322","44.378"
"1109","76.0279","43.893"
"1110","76.0599","44.300"
"1111","76.1240","44.293"
"1112","76.1879","44.133"
"1113","76.2518","44.059"
"1114","76.3477","44.237"
"1115","76.4119","44.248"
"1116","76.4759","44.056"
"1117","76.5400","44.233"
"1118","76.6199","44.011"
"1119","76.6676","44.215"
"1120","76.7476","43.926"
"1121","76.8436","44.359"
"1122","76.8755","43.922"
"1123","76.9396","44.219"
"1124","77.0366","43.959"
"1125","77.0995","44.248"
"1126","77.1634","44.056"
"1127","77.2274","44.222"
"1128","77.3074","44.067"
"1129","77.3554","44.196"
"1130","77.4514","43.833"
"1131","77.4994","44.300"
"1132","77.5793","44.315"
"1133","77.6432","43.733"
"1134","77.7072","44.115"
"1135","77.7711","44.163"
"1136","77.8351","44.211"
"1137","77.9151","43.748"
"1138","78.0111","44.430"
"1139","78.0590","43.870"
"1140","78.1550","44.237"
"1141","78.2030","43.822"
"1142","78.2349","44.285"
"1143","78.3309","43.867"
"1144","78.3949","44.304"
"1145","78.4589","43.870"
"1146","78.5228","44.156"
"1147","78.5868","43.930"
"1148","78.6828","44.115"
"1149","78.7467","44.004"
"1150","78.7948","43.904"
"1151","78.8907","44.141"
"1152","78.9387","43.896"
"1153","79.0346","44.226"
"1154","79.0826","43.956"
"1155","79.1785","43.959"
"1156","79.2265","43.944"
"1157","79.3225","44.193"
"1158","79.3544","44.000"
"1159","79.4184","44.074"
"1160","79.4824","44.004"
"1161","79.5464","44.193"
"1162","79.6104","43.856"
"1163","79.7063","44.300"
"1164","79.7702","43.878"
"1165","79.8344","44.156"
"1166","79.8983","43.841"
"1167","79.9623","44.056"
"1168","80.0262","44.019"
"1169","80.0903","44.026"
"1170","80.1862","43.944"
"1171","80.2503","44.033"
"1172","80.3460","44.219"
"1173","80.3941","43.652"
"1174","80.4420","44.167"
"1175","80.5380","43.863"
"1176","80.5862","44.137"
"1177","80.6823","43.822"
"1178","80.7143","44.096"
"1179","80.7784","44.019"
"1180","80.8423","44.144"
"1181","80.9383","43.881"
"1182","81.0023","44.063"
"1183","81.0658","43.930"
"1184","81.1297","44.041"
"1185","81.2097","43.759"
"1186","81.3057","44.193"
"1187","81.3537","43.841"
"1188","81.4016","43.837"
"1189","81.4821","43.904"
"1190","81.5778","44.122"
"1191","81.6095","43.837"
"1192","81.6735","43.870"
"1193","81.7375","44.067"
"1194","81.8018","43.933"
"1195","81.8655","44.015"
"1196","81.9618","43.770"
"1197","82.0257","44.089"
"1198","82.1058","43.841"
"1199","82.1693","44.163"
"1200","82.2333","43.863"
"1201","82.3134","43.952"
"1202","82.3614","43.911"
"1203","82.4578","43.970"
"1204","82.5052","43.789"
"1205","82.6016","43.926"
"1206","82.6491","43.919"
"1207","82.7131","43.911"
"1208","82.7774","43.926"
"1209","82.8410","43.878"
"1210","82.9051","43.948"
"1211","82.9691","43.952"
"1212","83.0332","43.878"
"1213","83.1288","43.970"
"1214","83.1930","43.967"
"1215","83.2568","43.904"
"1216","83.3218","44.037"
"1217","83.3848","43.815"
"1218","83.4656","44.033"
"1219","83.5607","43.681"
"1220","83.5926","44.107"
"1221","83.6566","43.748"
"1222","83.7205","44.115"
"1223","83.7846","43.733"
"1224","83.8806","43.911"
"1225","83.9446","43.789"
"1226","84.0087","43.800"
"1227","84.0726","43.933"
"1228","84.1374","43.719"
"1229","84.2008","44.022"
"1230","84.2807","43.711"
"1231","84.3766","44.093"
"1232","84.4242","43.667"
"1233","84.5202","43.733"
"1234","84.5682","44.019"
"1235","84.6322","43.796"
"1236","84.6974","43.659"
"1237","84.7602","43.900"
"1238","84.8241","44.004"
"1239","84.8880","43.781"
"1240","84.9680","43.693"
"1241","85.0640","44.085"
"1242","85.1120","43.719"
"1243","85.2079","43.952"
"1244","85.2399","43.659"
"1245","85.3038","44.011"
"1246","85.3678","43.633"
"1247","85.4318","43.959"
"1248","85.5277","43.733"
"1249","85.5917","43.722"
"1250","85.6397","43.693"
"1251","85.7356","43.952"
"1252","85.7836","43.900"
"1253","85.8795","43.685"
"1254","85.9274","44.089"
